title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/43095972'>In this life and the next (I'll always come back to you)</a>,Black_Roses01,Updated,944,850,94,16185,Explicit,25407,6,2023-01-14,"Happy Ending, Idiots in Love, Soft Sister Beatrice/Ava Silva, Gay Mess Sister Beatrice (Warrior Nun), Beatrice needs a hug, Reunion, Character Study, Sort Of, Fluff and Smut, Avatrice, Romance, Emotional Hurt/Comfort, Hurt/Comfort, Domestic, they get the life they deserve to live, in this life and the next, Other Additional Tags to Be Added, i love this show more than life itself, Non-Sexual Intimacy, Intimacy, Love, they are both touch starved babies, all the hugs and kisses in the world, Blood and Injury, Injury, Graphic depictions of violence - Freeform, Slow Burn"
<a href='https://archiveofourown.org/works/43247910'>The things we do for love</a>,HappyHomebrew,Updated,909,859,50,18326,Mature,31968,9,2023-01-03,"Alternate Universe - Canon Divergence, Beatrice POV, no beta we die like Catholic Guilt, Season 2 Rewrite, Gap filler for the Alps"
<a href='https://archiveofourown.org/works/44491915'>the life left behind</a>,littledata,Updated,866,763,103,8313,Mature,22210,4,2023-02-13,"Alternate Universe - No Powers, Alternate Universe - Bookstore, exes to friends to lovers, that's not a real tag"
<a href='https://archiveofourown.org/works/43688124'>You'll be the Sword and I will be the Halo</a>,Angel23,Updated,865,661,204,23563,Not Rated,99117,59,2023-02-16,"Avatrice, Badass Sister Beatrice (Warrior Nun), Fluff and Humor, Ava Silva Being Ava Silva, Soft Sister Lilith (Warrior Nun), past Shotgun Mary/Shannon Masters"
<a href='https://archiveofourown.org/works/25974079'>Judging Distances</a>,AWarningSign,Updated,843,741,102,11781,Teen And Up Audiences,28653,9,2023-01-16,"S2 AU where canon is a pick-n-mix counter and I am a 7 year old with a sweet tooth and money to burn, Canon Typical Violence, Devout catholics written by a bemused but well meaning atheist"
<a href='https://archiveofourown.org/works/44173594'>Welcome to Cat's Cradle Cafe</a>,purplesky24,Updated,837,681,156,7200,Teen And Up Audiences,21687,6,2023-02-11,"Alternate Universe - No Powers, Cafe AU, lawyer!Beatrice, Barista!Ava, artist!Ava, Put the cats back in Cat's Cradle agenda, Fluff and Humor"
<a href='https://archiveofourown.org/works/44171068'>It Does Not Grow With Ease (Make Allowance For These Doubting Fears and Pleas)</a>,shelteredbyshadow,Updated,799,713,86,9526,Not Rated,29939,8,2023-01-25,"Fluff and Angst, Past Abuse, Domestic, Roommates, Switzerland, Angst with a Happy Ending, Touch-Starved, Panic Attacks, Post-Traumatic Stress Disorder - PTSD"
<a href='https://archiveofourown.org/works/43122127'>We Need To Talk About Ava</a>,geekchic64,Updated,767,660,107,9488,Teen And Up Audiences,26246,5,2023-01-04,"Post-Season/Series 02, Ava Comes Back Wrong, POV Sister Beatrice (Warrior Nun), Hurt/Comfort, it... gets worse before it gets better, BUT IT DOES GET BETTER OKAY, beatrice voice: TRUST YOUR TEAM"
<a href='https://archiveofourown.org/works/43253263'>The Bar</a>,BEASL,Updated,744,632,112,20871,Explicit,34533,9,2022-12-20,"Sex, Love"
<a href='https://archiveofourown.org/works/43148667'>i love you... let me go...</a>,crusade22,Updated,732,578,154,12489,Mature,42286,18,2023-02-06,"Angst, Fluff and Angst, Humor, starts a little sad sorry, more tags im sure but idk, Gay Mess Sister Beatrice (Warrior Nun), Sister Beatrice Needs a Hug (Warrior Nun)"
"<a href='https://archiveofourown.org/works/44263435'>i'm all yours, tell me all that you lost</a>",leavethelighton,Updated,730,624,106,8932,Mature,52244,6,2023-02-11,"Fluff, Angst with a Happy Ending, soft, Ava is a tattoo artist, Beatrice is a florist, There is a wedding, can i make it more obvious, Alternate Universe, Found Family, The whole crew is here - Freeform, Trigger Warning: Mentions Past Childhood Abuse and Homophobia, Trigger Warning: Descriptions of General Anxiety, Beatrice works through her anxiety in a healthy way, we get the softest gays here"
<a href='https://archiveofourown.org/works/43659006'>Back to You</a>,enjoytheview25,Updated,710,620,90,13132,Not Rated,48623,15,2023-02-14,"Hurt/Comfort, Angst with a Happy Ending, Fluff and Angst"
<a href='https://archiveofourown.org/works/43282278'>the weaving road that will lead me home</a>,dww13,Updated,710,641,69,11016,Teen And Up Audiences,41383,11,2023-02-10,"Alternate Universe - Superheroes/Superpowers, kind of a Jessica Jones-esque backstory AU idk"
<a href='https://archiveofourown.org/works/44638072'>The Full Armor of God</a>,beebolovesyou,Updated,709,537,172,7752,Explicit,25237,7,2023-02-12,"Canon Rewrite, Alternate Universe - Canon Divergence, First Love, Fluff, Eventual Smut, Girl Penis, Minor Original Character(s), Sexual Repression, Internalized Homophobia, Some Plot, Porn with Feelings, Friends to Lovers, Loss of Virginity, Pregnancy Scares, Masturbation, Bad English, They Flip Flop, slowburnish, I made the OCS way weirder, sorry about that, Category was horny but it grew a plot oh no, Vaginal Fingering, Vaginal Sex, Ava has Praise Kink, Bottom Beatrice representation, Unsafe Sex, Don't do it in real life, Sentient halo, Again English is not my first language"
<a href='https://archiveofourown.org/works/44118390'>the chance to change your fate (would you?)</a>,box_xx,Updated,706,585,121,9618,Mature,28975,8,2023-02-07,"Friends to Enemies, Enemies to Lovers, Hurt/Comfort, Angst, Time Travel"
<a href='https://archiveofourown.org/works/43214655'>Beware the halo bearer</a>,alecto8,Updated,691,621,70,10206,Not Rated,28353,8,2023-01-22,"Unplanned Pregnancy, Magical Pregnancy"
<a href='https://archiveofourown.org/works/43022583'>Through the Grape Vines</a>,MediocreEffort,Updated,674,538,136,15940,Explicit,53579,13,2023-01-15,NA
<a href='https://archiveofourown.org/works/43491685'>what's up danger</a>,cyxnided,Updated,661,576,85,10759,Mature,53729,7,2023-01-04,"spider-man au, ava's a mix of peter/miles, also i'm bullshitting the hell out of New York, everything i know is based on friends that live there and tv shows, so forgive me"
<a href='https://archiveofourown.org/works/36323167'>To Keep You From Trouble</a>,GleeCastOST,Updated,650,522,128,9084,Mature,34376,15,2023-01-27,"AU, Angst, Angst with a Happy Ending, Dark, Some humour, Angst!"
<a href='https://archiveofourown.org/works/43251082'>Where The Poets Choose Their Verse</a>,CaptMediaNerd,Updated,622,557,65,9476,Mature,22998,8,2023-01-15,"Fluff, Fluff and Humor, Alternate Universe, Alternate Universe - Canon Divergence, Slow Burn, Friends to Lovers"
<a href='https://archiveofourown.org/works/43404529'>Roll for Nunitiative</a>,memorysdaughter,Updated,603,401,202,6448,General Audiences,40907,11,2023-01-09,"Medical Experimentation, Characters Play Dungeons & Dragons, Canon Disabled Character, Nuns, We play fast and loose with canon, because if not here then when, Demons, Physical Disability"
<a href='https://archiveofourown.org/works/44074389'>Sometimes You Have To Lose a Battle</a>,words_are_my_only,Updated,595,495,100,12053,Mature,67504,19,2023-02-16,"POV Sister Beatrice (Warrior Nun), Suicide Attempt, Depression, Mental Health Issues, New York City, Alternate Universe - No Powers, Alternate Universe - Modern Setting, Bisexuality, School Shootings, Avatrice, Adriel is actually William Miller, Internalized Homophobia, Homophobia, Masturbation"
<a href='https://archiveofourown.org/works/43099806'>thought my hands were quick</a>,andrelon,Updated,582,438,144,7643,Not Rated,63109,8,2023-01-11,"Slow Burn, Alternate Universe - Avatar & Benders Setting, Enemies to Friends to Lovers, Enemies to Lovers, the halo is a sky bison, Beatrice is a badass, ava can't bend for shit, avatrice are angry idiots in love, avatar ava, royal fire nation soldier beatrice, no need to have watched the show"
<a href='https://archiveofourown.org/works/43638615'>Yuletide</a>,LaPetiteReveuse,Updated,580,534,46,9149,Teen And Up Audiences,30696,12,2023-02-01,"Christmas fic, they were roommates, Slow Burn, soft, festive film nights"
"<a href='https://archiveofourown.org/works/44297308'>come back (even as a shadow, even as a dream)</a>",karatam,Updated,572,423,149,6068,Mature,35278,4,2023-02-02,"Ava Comes Back Wrong, Post Season 02, Angst, Hurt/Comfort, they're in LOVE your honour, Canon-Typical Violence, Fluff and Angst, buckle in because we have some Plot happening, also some glowing eyes as a treat, Angst with a Happy Ending"
<a href='https://archiveofourown.org/works/44082540'>Drag Me Into the Dark</a>,K_Thinks,Updated,569,455,114,8660,Mature,39814,10,2023-02-14,"Gay Mess Sister Beatrice (Warrior Nun), Badass Sister Beatrice (Warrior Nun), Human/Vampire Relationship, Vampire Family, Gay Panic, Everyone Is Gay, Bisexual Ava Silva, Soft Ava Silva, Gay Mess Ava Silva, Ava Silva Being Ava Silva, Soft Sister Beatrice/Ava Silva, Repressed Sister Beatrice (Warrior Nun), Alternate Universe - Vampire, Twilight References, Masturbation"
<a href='https://archiveofourown.org/works/33872635'>Resurrection</a>,GleeCastOST,Updated,564,420,144,10304,Mature,44824,21,2023-01-30,"Angst, Vampire AU, dont come for me, More angst, Some humour, idk - Freeform"
<a href='https://archiveofourown.org/works/43424958'>Under the Orange Sun</a>,heyjollybeans,Updated,538,470,68,9548,Teen And Up Audiences,20297,9,2022-12-14,"Surfing AU, Ava Silva Needs a Hug, Surfer Beatrice, Ava wishes to forget, But she won't, she can't"
<a href='https://archiveofourown.org/works/43613266'>Love Among the Shelves</a>,sappho7,Updated,530,457,73,9845,Mature,26170,12,2023-02-13,"AU, English Countryside, Alternate Universe - Bookstore"
<a href='https://archiveofourown.org/works/43896019'>Sublime</a>,selene (moontrimmer),Updated,526,401,125,9898,Teen And Up Audiences,81385,16,2023-02-17,"Alternate Universe - Football, Alternate Universe, Slow Burn"
<a href='https://archiveofourown.org/works/43700553'>she's the path on which i tread</a>,latkeparty,Updated,503,400,103,9345,Mature,40469,6,2023-01-29,"Post-Canon Fix-It, post s2/potential s3, Angst with a Happy Ending, emphasis on happy ending!!, mary is alive because i said so, Character Study"
<a href='https://archiveofourown.org/works/31616576'>Ain't That a Kick in the Head</a>,GleeCastOST,Updated,496,359,137,8304,Mature,41997,18,2022-12-09,"AU, Wild West, JC is a horse again, Angst, Humour, Some fluff maybe"
<a href='https://archiveofourown.org/works/43662937'>A Crown of Violets</a>,PersephoneVerne,Updated,488,413,75,7353,Not Rated,35715,9,2023-01-23,"Hurt/Comfort, Angst, Fluff, Mutual Pining, Romance, Falling In Love, Badass Sister Beatrice (Warrior Nun), Sister Beatrice Needs a Hug (Warrior Nun), Bisexual Ava Silva, Soft Ava Silva, Gay Mess Ava Silva, Gay Mess Sister Beatrice (Warrior Nun), Canon Rewrite, Fights, Physical hurt/comfort, Season 2 but making it gayer, Canon compliant except when it isn't, Eventual Smut, Lots of plot, Mostly plot but there WILL be spice mixed in, Jealous Sister Beatrice (Warrior Nun), Jealous Ava Silva, only one bed trope, ""Who did this to you?"" trope, Avatrice, Slow Build, Slow-ish burn, Secret free-wheeling ass-kicking nuns"
<a href='https://archiveofourown.org/works/43378138'>The Exchange Student</a>,AlphaMascClost,Updated,482,395,87,10772,Explicit,49687,8,2023-02-02,"Alternate Universe - College/University, Strangers to Lovers, Europe, Useless Lesbians, Bisexual Ava Silva, Masturbation, Background Shotgun Mary/Shannon Masters, POV Alternating, Fluff, Meet-Cute, Ava is a stoner, Sex, Smut, Car Accidents"
<a href='https://archiveofourown.org/works/44483569'>sixth to the ninth hour</a>,snowandwolves,Updated,481,387,94,4642,Explicit,42048,3,2023-02-10,"we're neutral about her here, alps + post s2 + alps again, because im unhinged and indecisive, alternating pov"
<a href='https://archiveofourown.org/works/43760995'>lavender & lilacs (love throughout the seasons)</a>,sapphicstardust,Updated,474,394,80,6836,Mature,28199,7,2023-02-04,"Ava/Beatrice, Avatrice, Alternate Universe - No Powers, Slow Burn, Mutual Pining, Sexual Tension, Eventual Smut, Mild Angst, religious trauma, Gay Panic, no beta we die like men, Gay Awakening, mary/shannon are happily together, Soft Sister Beatrice/Ava Silva, Beatrice has a lot of feelings, Gay Mess Sister Beatrice (Warrior Nun), Repressed Sister Beatrice (Warrior Nun), Empathetic Ava Silva, Sex Dreams, Smut, Beatrice has a praise kink, Everyone likes to tease Beatrice because she's cute about it"
<a href='https://archiveofourown.org/works/43681357'>Don't Come To Close (Yet Hold Me Closer Still)</a>,Nardragon,Updated,464,429,35,7327,Teen And Up Audiences,25343,5,2023-02-13,"5 Times, 5+1 Things"
<a href='https://archiveofourown.org/works/44573818'>i just wanna stay (in this lavender haze)</a>,Humble_wats,Updated,451,402,49,5563,Mature,28709,4,2023-02-06,"Alternate Universe, Angst, Fluff, Eventual Smut, Hurt/Comfort, Emotional/Psychological Abuse, Gay Mess Sister Beatrice (Warrior Nun), Sexual Tension, slow burn (kind of), beatrice never got sent away, so she turned out a little differently"
<a href='https://archiveofourown.org/works/43593537'>Vigilantes In Love</a>,jaxthepigeon,Updated,436,383,53,6764,Not Rated,45455,8,2023-02-16,"Spider-Man Ava, DareDevil Beatrice, marvel AU, established Ava Silva/Sister Beatrice, Blind Beatrice, Hurt/Comfort, Swearing, Crime Fighting, Fluff, Found Family, I'll add tags as i post more chapters"
<a href='https://archiveofourown.org/works/44065287'>Cafe La Vasseur (Formerly: On the Menu)</a>,chaoslesbian,Updated,416,400,16,7500,Explicit,21297,6,2023-02-02,"coffee shop AU, show burn babey, Gay Mess Sister Beatrice (Warrior Nun), They're not nuns, Switzerland but I'm American so sorry for inaccuracies, Background Shotgun Mary/Shannon Masters"
"<a href='https://archiveofourown.org/works/44587423'>and there it is, a mark of the divine</a>",understreetlights,Updated,405,306,99,3900,Mature,53750,3,2023-02-17,"Alternate Universe - Small Town, Fluff, Mutual Pining, Love at First Sight, it's about sea creatures and ocean breezes and healing your trauma, and having someone lovingly teach you the things you're afraid to do, beatrice uses all five love languages in the first three days so there's no hope for her, ava simply has no concept of subtlety, it's requited but they need a little nudge, includes puns and other gay disasters, sapphics who trauma dump on the first date, if you want something that's just. soft. this is for you!"
<a href='https://archiveofourown.org/works/38422768'>Wild hearts and wise minds</a>,LoreAndMyth,Updated,399,299,100,5154,Mature,38703,15,2022-12-13,"Alternate Universe - Fantasy, Bloody Rose AU, rated mature for violence, i don't know how in depth it's gonna get, Slow Burn, Plot, i can't tell if I'm writing out of character, beatrice is the mum friend, You can't convince me otherwise, ray of sunshine camila, soft dickhead lilith, mary is just done, camila will forever be the captain of the ship, Pining"
<a href='https://archiveofourown.org/works/43677063'>turn left</a>,dww13,Updated,395,355,40,3857,Mature,23447,7,2023-02-10,"Alternate Universe - Canon Divergence, more like pre-canon divergence, no matter the universe and all that, Idk tags are hard"
<a href='https://archiveofourown.org/works/43996408'>H.A.L.O.</a>,StandingOnShakyGround,Updated,394,346,48,4947,Mature,33144,5,2023-01-25,"Halo au, The Halo is not a religious artifact, Family Fluff, Ava and Beatrice are a gay mess, First Meetings, science AU, Suzanne is Mother Superion, Ava is adopted, religious subtext later, kind of slow burn"
<a href='https://archiveofourown.org/works/43329570'>I've been hanging by your halo (don't you wanna cut me loose?)</a>,LesEtoilesDeTesYeux,Updated,389,317,72,3126,Not Rated,24658,3,2023-01-05,"mostly canon and building on the lore, Season 2 Continuation"
<a href='https://archiveofourown.org/works/43784295'>karma is my girlfriend (karma is a god)</a>,sowish,Updated,381,337,44,5182,Teen And Up Audiences,21120,9,2023-02-14,"avatrice post holy wars and problems, ava is back and y'all will just go along with it!, ty to the liberties of writing fanfic :p, attempts at humor, many attempts at rotting my teeth with sweet gooey love, just want my two traumatized girls to be happy :(, beatrice is truly my entire heart, says ava probably every time she looks at her, switzerland era is open BAYBIEEE, aka domestic avatrice is good for the brain, is it breaking the fourth wall if ava internally refers to herself as a sweaterboy???, MAYBE!"
<a href='https://archiveofourown.org/works/43174899'>who knew we could be reduced to this?</a>,Clexamylexa,Updated,368,339,29,5841,Teen And Up Audiences,26233,7,2023-02-13,"One Shot, One Shot Collection, Sister Beatrice Needs a Hug (Warrior Nun), Bisexual Ava Silva, Ava Silva Needs a Hug, Fluff, Domestic Fluff, Hurt/Comfort, Friends to Lovers, Best Friends, Bathing/Washing, Hair Dyeing, Haircuts, Hair Washing, Only One Bed, beatrice makes tea for ava when she can't sleep, diego loves beatrice, ava loves watching the two of them get along, beatrice is lowkey a nerd all the time, beatrice gets possessed, Angst, Angst with a Happy Ending, Fluff and Angst, beatrice teaching ava how to swim, they're best friends who are secretly in love, LMAOOOO I WENT TO ADD THE ""character needs a hug"" TAG AND REALISED THEY WERE BOTH ALREADY HERE, Repressed Sister Beatrice (Warrior Nun), They cook together, ava doesn't like soup because it's liquid food"
<a href='https://archiveofourown.org/works/43763004'>can't change my ways (god knows why)</a>,badartndadjokes,Updated,368,333,35,3500,Mature,24315,3,2022-12-28,"Percy Jackson AU, Mutual Pining, Ava Silva Being Ava Silva, Beatrice is a badass, ava silva is percy jackson coded, gratuitous sword fighting, Adult Demigods (Percy Jackson)"
